Symbol,Name,Country
ABTX,Allegiance Bancshares Inc. Common Stock,United States
ABUS,Arbutus Biopharma Corporation Common Stock,Canada
ABVC,ABVC Biopharma Inc. Common Stock,United States
AC,Associated Capital Group Inc. Common Stock,United States
ACA,Arcosa Inc. Common Stock ,
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,United States
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,United States
ACAHU,Atlantic Coastal Acquisition Corp. Unit,United States
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,United States
ACB,Aurora Cannabis Inc. Common Shares,Canada
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,Hong Kong
ACBAU,Ace Global Business Acquisition Limited Unit,Hong Kong
ACBAW,Ace Global Business Acquisition Limited Warrant,Hong Kong
ACBI,Atlantic Capital Bancshares Inc. Common Stock,United States
ACC,American Campus Communities Inc Common Stock,United States
ACCD,Accolade Inc. Common Stock,United States
ACCO,Acco Brands Corporation Common Stock,United States
ACEL,Accel Entertainment Inc. ,United States
ACER,Acer Therapeutics Inc. Common Stock (DE),United States
ACET,Adicet Bio Inc. Common Stock ,United States
ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,United States
ACEVU,ACE Convergence Acquisition Corp. Unit,United States
ACEVW,ACE Convergence Acquisition Corp. Warrant,United States
ACGL,Arch Capital Group Ltd. Common Stock,Bermuda
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,Bermuda
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,Bermuda
ACH,Aluminum Corporation of China Limited American Depositary Shares,China
ACHC,Acadia Healthcare Company Inc. Common Stock,United States
ACHL,Achilles Therapeutics plc American Depositary Shares,United Kingdom
ACHR,Archer Aviation Inc. Class A Common Stock,United States
ACHV,Achieve Life Sciences Inc. Common Shares,United States
ACI,Albertsons Companies Inc. Class A Common Stock,United States
ACII,Atlas Crest Investment Corp. II Class A Common Stock,
ACIU,AC Immune SA Common Stock,Switzerland
ACIW,ACI Worldwide Inc. Common Stock,United States
ACKIT,Ackrell SPAC Partners I Co. Subunits,United States
ACKIU,Ackrell SPAC Partners I Co. Units,United States
ACKIW,Ackrell SPAC Partners I Co. Warrants,United States
ACLS,Axcelis Technologies Inc. Common Stock,United States
ACM,AECOM Common Stock,United States
ACMR,ACM Research Inc. Class A Common Stock,United States
ACN,Accenture plc Class A Ordinary Shares (Ireland),Ireland
ACNB,ACNB Corporation Common Stock,United States
ACOR,Acorda Therapeutics Inc. Common Stock,United States
ACP,Aberdeen Income Credit Strategies Fund Common Shares,United States
ACP^A,Aberdeen Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,United States
ACQR,Independence Holdings Corp. Class A Ordinary Share,United States
ACQRU,Independence Holdings Corp. Units,United States
ACR,ACRES Commercial Realty Corp. Common Stock,United States
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,United States
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,United States
ACRE,Ares Commercial Real Estate Corporation Common Stock,United States
ACRO,Acropolis Infrastructure Acquisition Corp. Class A Common Stock,
ACRS,Aclaris Therapeutics Inc. Common Stock,United States
ACRX,AcelRx Pharmaceuticals Inc. Common Stock,United States
ACST,Acasti Pharma Inc. Class A Common Stock,Canada
ACT,Enact Holdings Inc. Common Stock,United States
ACTD,ArcLight Clean Transition Corp. II Class A Ordinary Share,United States
ACTDU,ArcLight Clean Transition Corp. II Unit,United States
ACTDW,ArcLight Clean Transition Corp. II Warrant,United States
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,United States
ACU,Acme United Corporation. Common Stock,United States
ACV,Virtus AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest,United States
ACVA,ACV Auctions Inc. Class A Common Stock,United States
ACXP,Acurx Pharmaceuticals Inc. Common Stock,United States
ACY,AeroCentury Corp. Common Stock,United States
ADAG,Adagene Inc. American Depositary Shares,China
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,United Kingdom
ADBE,Adobe Inc. Common Stock,United States
ADC,Agree Realty Corporation Common Stock,United States
ADC^A,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock,United States
ADCT,ADC Therapeutics SA Common Shares,
ADER,26 Capital Acquisition Corp. Class A Common Stock,United States
ADERU,26 Capital Acquisition Corp. Unit,United States
ADERW,26 Capital Acquisition Corp. Warrant,United States
ADES,Advanced Emissions Solutions Inc. Common Stock,United States
ADEX,Adit EdTech Acquisition Corp. Common Stock,
ADF,Aldel Financial Inc. Class A Common Stock,
ADGI,Adagio Therapeutics Inc. Common Stock,United States
ADI,Analog Devices Inc. Common Stock,United States
ADIL,Adial Pharmaceuticals Inc Common Stock,United States
ADILW,Adial Pharmaceuticals Inc Warrant,United States
ADM,Archer-Daniels-Midland Company Common Stock,United States
ADMA,ADMA Biologics Inc Common Stock,United States
ADMP,Adamis Pharmaceuticals Corporation Common Stock,United States
ADMS,Adamas Pharmaceuticals Inc. Common Stock,United States
ADN,Advent Technologies Holdings Inc. Class A Common Stock,United States
ADNT,Adient plc Ordinary Shares ,
ADNWW,Advent Technologies Holdings Inc. Warrant,United States
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,United States
ADOCR,Edoc Acquisition Corp. Right,United States
ADOCW,Edoc Acquisition Corp. Warrant,United States
ADP,Automatic Data Processing Inc. Common Stock,United States
ADPT,Adaptive Biotechnologies Corporation Common Stock,United States
ADRA,Adara Acquisition Corp. Class A Common Stock,United States
ADS,Alliance Data Systems Corporation Common Stock,United States
ADSK,Autodesk Inc. Common Stock,United States
ADT,ADT Inc. Common Stock,United States
ADTN,ADTRAN Inc. Common Stock,United States
ADTX,Aditxt Inc. Common Stock,United States
ADUS,Addus HomeCare Corporation Common Stock,United States
ADV,Advantage Solutions Inc. Class A Common Stock,United States
ADVM,Adverum Biotechnologies Inc. Common Stock,United States
ADVWW,Advantage Solutions Inc. Warrant,United States
ADX,Adams Diversified Equity Fund Inc.,United States
ADXN,Addex Therapeutics Ltd American Depositary Shares,Switzerland
ADXS,Advaxis Inc. Common Stock,United States
AE,Adams Resources & Energy Inc. Common Stock,United States
AEAC,Authentic Equity Acquisition Corp. Class A ordinary share,United States
AEACU,Authentic Equity Acquisition Corp. Unit,United States
AEACW,Authentic Equity Acquisition Corp. Warrant,United States
AEE,Ameren Corporation Common Stock,United States
AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,United States
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,
AEG,AEGON N.V. Common Stock,Netherlands
AEHL,Antelope Enterprise Holdings Limited Common Stock (0.024 par),China
AEHR,Aehr Test Systems Common Stock,United States
AEI,Alset EHome International Inc. Common Stock,United States
AEIS,Advanced Energy Industries Inc. Common Stock,United States
AEL,American Equity Investment Life Holding Company Common Stock,United States
AEL^A,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock Series A,United States
AEL^B,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B,United States
AEM,Agnico Eagle Mines Limited Common Stock,Canada
AEMD,Aethlon Medical Inc. Common Stock,United States
AENZ,Aenza S.A.A. American Depositary Shares,
AEO,American Eagle Outfitters Inc. Common Stock,United States
AEP,American Electric Power Company Inc. Common Stock,United States
AEPPL,American Electric Power Company Inc. Corporate Unit,United States
AEPPZ,American Electric Power Company Inc. Corporate Units,United States
AER,AerCap Holdings N.V. Ordinary Shares,Netherlands
AERI,Aerie Pharmaceuticals Inc. Common Stock,United States
AES,The AES Corporation Common Stock,United States
AESC,The AES Corporation Corporate Units,United States
AESE,Allied Esports Entertainment Inc. Common Stock,United States
AEVA,Aeva Technologies Inc. Common Stock,
AEY,ADDvantage Technologies Group Inc. Common Stock,United States
AEYE,AudioEye Inc. Common Stock,United States
AEZS,Aeterna Zentaris Inc. Common Stock,Canada
AFAQ,AF Acquisition Corp. Class A Common Stock,United States
AFAQU,AF Acquisition Corp. Units,United States
AFAQW,AF Acquisition Corp. Warrants,United States
AFB,AllianceBernstein National Municipal Income Fund Inc,United States
AFBI,Affinity Bancshares Inc. Common Stock (MD),United States
AFCG,AFC Gamma Inc. Common Stock,United States
AFG,American Financial Group Inc. Common Stock,United States
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,United States
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,United States
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,United States
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,United States
AFI,Armstrong Flooring Inc. Common Stock,
AFIB,Acutus Medical Inc. Common Stock,United States
AFIN,American Finance Trust Inc. Class A Common Stock,United States
AFINO,American Finance Trust Inc. 7.375% Series C Cumulative Redeemable Preferred Stock,United States
AFINP,American Finance Trust Inc. 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock,United States
AFL,AFLAC Incorporated Common Stock,United States
AFMD,Affimed N.V.,Germany
AFRM,Affirm Holdings Inc. Class A Common Stock,United States
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock,
AFTR,AfterNext HealthTech Acquisition Corp. Class A Ordinary Shares,
AFYA,Afya Limited Class A Common Shares,Brazil
AG,First Majestic Silver Corp. Ordinary Shares (Canada),Canada
AGAC,African Gold Acquisition Corporation Class A Ordinary Shares,
AGBA,AGBA Acquisition Limited Ordinary Share,Hong Kong
AGBAR,AGBA Acquisition Limited Right,Hong Kong
AGBAU,AGBA Acquisition Limited Unit,Hong Kong
AGBAW,AGBA Acquisition Limited Warrant,Hong Kong
AGC,Altimeter Growth Corp. Class A Ordinary Shares,United States
AGCB,Altimeter Growth Corp. 2 Class A Ordinary Shares,
AGCO,AGCO Corporation Common Stock,United States
AGCUU,Altimeter Growth Corp. Unit,United States
AGCWW,Altimeter Growth Corp. Warrant,United States
AGD,Aberdeen Global Dynamic Dividend Fund,United States
AGE,AgeX Therapeutics Inc. Common Stock,
AGEN,Agenus Inc. Common Stock,United States
AGFS,AgroFresh Solutions Inc. Common Stock,United States
AGFY,Agrify Corporation Common Stock,United States
AGGR,Agile Growth Corp. Class A Ordinary Share,United States
AGGRU,Agile Growth Corp. Units,United States
AGGRW,Agile Growth Corp. Warrant.,United States
AGI,Alamos Gold Inc. Class A Common Shares,Canada
AGIL,AgileThought Inc. Class A Common Stock,United States
AGILW,AgileThought Inc. Warrant,United States
AGIO,Agios Pharmaceuticals Inc. Common Stock,United States
AGL,agilon health inc. Common Stock,
AGLE,Aeglea BioTherapeutics Inc. Common Stock,United States
AGM,Federal Agricultural Mortgage Corporation Common Stock,United States
AGM^C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,United States
AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,United States
AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,United States
AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,United States
AGM^G,Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G,United States
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,Hong Kong
AGNC,AGNC Investment Corp. Common Stock,United States
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,United States
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,United States
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,United States
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,United States
AGO,Assured Guaranty Ltd. Common Stock,Bermuda
AGR,Avangrid Inc. Common Stock,United States
AGRI,AgriFORCE  Growing Systems Ltd. Common Shares,Canada
AGRIW,AgriFORCE  Growing Systems Ltd. Warrant,Canada
AGRO,Adecoagro S.A. Common Shares,Luxembourg
AGRX,Agile Therapeutics Inc. Common Stock,United States
AGS,PlayAGS Inc. Common Stock,United States
AGTC,Applied Genetic Technologies Corporation Common Stock,United States
AGTI,Agiliti Inc. Common Stock,
AGX,Argan Inc. Common Stock,United States
AGYS,Agilysys Inc. Common Stock,United States
AHCO,AdaptHealth Corp. Common Stock,United States
AHH,Armada Hoffler Properties Inc. Common Stock,United States
AHH^A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,United States
AHL^C,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,Bermuda
AHL^D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,Bermuda
AHL^E,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares,Bermuda
AHPA,Avista Public Acquisition Corp. II Class A Ordinary Shares,United States
AHPAU,Avista Public Acquisition Corp. II Unit,United States
AHPAW,Avista Public Acquisition Corp. II Warrant,United States
AHPI,Allied Healthcare Products Inc. Common Stock,United States
AHT,Ashford Hospitality Trust Inc Common Stock,United States
AHT^D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,United States
AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,United States
AHT^G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,United States
AHT^H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,United States
AHT^I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,United States
AI,C3.ai Inc. Class A Common Stock,
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,United States
AIF,Apollo Tactical Income Fund Inc. Common Stock,
AIG,American International Group Inc. New Common Stock,United States
AIG^A,American International Group Inc. Depositary Shares Each Representing a 1/1000th Interest in a Share of Series A 5.85% Non-Cumulative Perpetual Preferred Stock,United States
AIH,Aesthetic Medical International Holdings Group Ltd. American Depositary Shares,China
AIHS,Senmiao Technology Limited Common Stock,China
AIKI,AIkido Pharma Inc. Common Stock,United States
AIM,AIM ImmunoTech Inc. Common Stock,United States
AIMC,Altra Industrial Motion Corp. Common Stock,United States
AIN,Albany International Corporation Common Stock,United States
AINC,Ashford Inc. (Holding Company) Common Stock,United States
AINV,Apollo Investment Corporation Common Stock,United States
AIO,Virtus AllianzGI Artificial Intelligence & Technology Opportunities Fund Common Shares,
AIR,AAR Corp. Common Stock,United States
AIRC,Apartment Income REIT Corp. Common Stock,
AIRG,Airgain Inc. Common Stock,United States
AIRI,Air Industries Group Common Stock,United States
AIRT,Air T Inc. Common Stock,United States
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,United States
AIT,Applied Industrial Technologies Inc. Common Stock,United States
AIV,Apartment Investment and Management Company Common Stock,United States
AIZ,Assurant Inc. Common Stock,United States
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,United States
AJG,Arthur J. Gallagher & Co. Common Stock,United States
AJRD,Aerojet Rocketdyne Holdings Inc. Common Stock,United States
AJX,Great Ajax Corp. Common Stock,United States
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,United States
AKA,a.k.a. Brands Holding Corp. Common Stock,
AKAM,Akamai Technologies Inc. Common Stock,United States
AKBA,Akebia Therapeutics Inc. Common Stock,United States
AKIC,Sports Ventures Acquisition Corp. Class A Ordinary Shares,United States
AKICU,Sports Ventures Acquisition Corp. Unit,United States
AKICW,Sports Ventures Acquisition Corp. Warrant,United States
AKO/A,Embotelladora Andina S.A.,Chile
AKO/B,Embotelladora Andina S.A.,Chile
AKR,Acadia Realty Trust Common Stock,United States
AKRO,Akero Therapeutics Inc. Common Stock,United States
AKTS,Akoustis Technologies Inc. Common Stock,United States
AKTX,Akari Therapeutics plc ADR (0.01 USD),United Kingdom
AKU,Akumin Inc. Common Shares,Canada
AKUS,Akouos Inc. Common Stock,United States
AKYA,Akoya BioSciences Inc. Common Stock,United States
AL,Air Lease Corporation Class A Common Stock,United States
AL^A,Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series A,United States
ALAC,Alberton Acquisition Corporation Ordinary Shares,Hong Kong
ALACR,Alberton Acquisition Corporation Rights exp April 26 2021,Hong Kong
ALACW,Alberton Acquisition Corporation Warrant,Hong Kong
ALB,Albemarle Corporation Common Stock,United States
ALBO,Albireo Pharma Inc. Common Stock,United States
ALC,Alcon Inc. Ordinary Shares,Switzerland
ALCC,AltC Acquisition Corp. Class A Common Stock,
ALCO,Alico Inc. Common Stock,United States
ALDX,Aldeyra Therapeutics Inc. Common Stock,United States
ALE,Allete Inc.,United States
ALEC,Alector Inc. Common Stock,United States
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company,United States
ALF,ALFI Inc. Common Stock,United States
ALFIW,ALFI Inc. Warrant,United States
ALG,Alamo Group Inc. Common Stock,United States
ALGM,Allegro MicroSystems Inc. Common Stock,United States
ALGN,Align Technology Inc. Common Stock,United States
ALGS,Aligos Therapeutics Inc. Common Stock,United States
ALGT,Allegiant Travel Company Common Stock,United States
ALHC,Alignment Healthcare Inc. Common Stock,United States
ALIM,Alimera Sciences Inc. Common Stock,United States
ALIN^A,Altera Infrastructure L.P. 7.25% Series A ,Bermuda
ALIN^B,Altera Infrastructure L.P. 8.50% Series B ,Bermuda
ALIN^E,Altera Infrastructure L.P. 8.875% Series E ,Bermuda
ALIT,Alight Inc. Class A Common Stock,
ALJJ,ALJ Regional Holdings Inc. Common Stock,United States
ALK,Alaska Air Group Inc. Common Stock,United States
ALKS,Alkermes plc Ordinary Shares,Ireland
ALKT,Alkami Technology Inc. Common Stock,United States
ALL,Allstate Corporation (The) Common Stock,United States
ALL^B,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,United States
ALL^G,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series G,United States
ALL^H,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series H,United States
ALL^I,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series I,United States
ALLE,Allegion plc Ordinary Shares,United States
ALLK,Allakos Inc. Common Stock,United States
ALLO,Allogene Therapeutics Inc. Common Stock,United States
ALLT,Allot Ltd. Ordinary Shares,Israel
ALLY,Ally Financial Inc. Common Stock,United States
ALLY^A,GMAC Capital Trust I Fixed Rate Floating Rate Trust Preferred Securities Series 2,United States
ALNA,Allena Pharmaceuticals Inc. Common Stock,United States
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,United States
ALOT,AstroNova Inc. Common Stock,United States
ALP^Q,Alabama Power Company 5.00% Class A Preferred Stock Cumulative Par Value $1 Per Share (Stated Capital $25 Per Share),United States
ALPA,Alpha Healthcare Acquisition Corp. III Class A Common Stock,United States
ALPAW,Alpha Healthcare Acquisition Corp. III Warrant,United States
ALPN,Alpine Immune Sciences Inc. Common Stock,United States
ALRM,Alarm.com Holdings Inc. Common Stock,United States
ALRN,Aileron Therapeutics Inc. Common Stock,United States
ALRS,Alerus Financial Corporation Common Stock,United States
ALSN,Allison Transmission Holdings Inc. Common Stock,United States
ALT,Altimmune Inc. Common Stock,United States
ALTG,Alta Equipment Group Inc. Class A Common Stock,
ALTG^A,Alta Equipment Group Inc. Depositary Shares (each representing 1/1000th in a share of 10% Series A Cumulative Perpetual Preferred Stock),
ALTM,Altus Midstream Company Class A Common Stock,United States
ALTO,Alto Ingredients Inc. Common Stock,United States
ALTR,Altair Engineering Inc. Class A Common Stock,United States
ALTU,Altitude Acquisition Corp. Class A Common Stock,United States
ALTUU,Altitude Acquisition Corp. Unit,United States
ALTUW,Altitude Acquisition Corp. Warrant,United States
ALV,Autoliv Inc. Common Stock,Sweden
ALVR,AlloVir Inc. Common Stock,United States
ALX,Alexander's Inc. Common Stock,United States
ALXO,ALX Oncology Holdings Inc. Common Stock,United States
ALYA,Alithya Group inc. Class A Subordinate Voting Shares,Canada
ALZN,Alzamend Neuro Inc. Common Stock,United States
AM,Antero Midstream Corporation Common Stock,United States
AMAL,Amalgamated Financial Corp. Common Stock (DE),United States
AMAM,Ambrx Biopharma Inc. American Depositary Shares (each representing seven Ordinary Shares),
AMAO,American Acquisition Opportunity Inc. Class A Common Stock,United States
AMAOU,American Acquisition Opportunity Inc. Units,United States
AMAOW,American Acquisition Opportunity Inc. Warrant,United States
AMAT,Applied Materials Inc. Common Stock,United States
AMBA,Ambarella Inc. Ordinary Shares,United States
AMBC,Ambac Financial Group Inc. Common Stock,United States
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,China
AMBP,Ardagh Metal Packaging S.A. Ordinary Shares,
AMC,AMC Entertainment Holdings Inc. Class A Common Stock,
AMCI,AMCI Acquisition Corp. II Class A Common Stock,United States
AMCIU,AMCI Acquisition Corp. II Units,United States
AMCIW,AMCI Acquisition Corp. II Warrant,United States
AMCR,Amcor plc Ordinary Shares,
AMCX,AMC Networks Inc. Class A Common Stock,United States
AMD,Advanced Micro Devices Inc. Common Stock,United States
AME,AMETEK Inc.,United States
AMED,Amedisys Inc Common Stock,United States
AMEH,Apollo Medical Holdings Inc. Common Stock,United States
AMG,Affiliated Managers Group Inc. Common Stock,United States
AMGN,Amgen Inc. Common Stock,United States
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,
AMH^F,American Homes 4 Rent 5.875% Series F Cumulative Redeemable Perpetual Preferred Shares,
AMH^G,American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest,
AMH^H,American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Interest,
AMK,AssetMark Financial Holdings Inc. Common Stock,United States
AMKR,Amkor Technology Inc. Common Stock,United States
AMN,AMN Healthcare Services Inc AMN Healthcare Services Inc,United States
AMNB,American National Bankshares Inc. Common Stock,United States
AMOT,Allied Motion Technologies Inc.,United States
AMOV,America Movil S.A.B. de C.V. Class A American Depositary Shares,Mexico
AMP,Ameriprise Financial Inc. Common Stock,United States
AMPE,Ampio Pharmaceuticals Inc.,United States
AMPG,Amplitech Group Inc. Common Stock,United States
AMPGW,Amplitech Group Inc. Warrants,United States
AMPH,Amphastar Pharmaceuticals Inc. Common Stock,United States
AMPI,Advanced Merger Partners Inc. Class A Common Stock,
AMPL,Amplitude Inc. Class A Common Stock,United States
AMPY,Amplify Energy Corp. Common Stock,United States
AMR,Alpha Metallurgical Resources Inc. Common Stock,United States
AMRC,Ameresco Inc. Class A Common Stock,United States
AMRK,A-Mark Precious Metals Inc. Common Stock,United States
AMRN,Amarin Corporation plc,Ireland
AMRS,Amyris Inc. Common Stock,United States
AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock,
AMS,American Shared Hospital Services Common Stock,United States
AMSC,American Superconductor Corporation Common Stock,United States
AMSF,AMERISAFE Inc. Common Stock,United States
AMST,Amesite Inc. Common Stock,United States
AMSWA,American Software Inc. Class A Common Stock,United States
AMT,American Tower Corporation (REIT) Common Stock,United States
AMTB,Amerant Bancorp Inc. Class A Common Stock,United States
AMTBB,Amerant Bancorp Inc. Class B Common Stock,United States
AMTI,Applied Molecular Transport Inc. Common Stock,United States
AMTX,Aemetis Inc. Common Stock,United States
AMWD,American Woodmark Corporation Common Stock,United States
AMWL,American Well Corporation Class A Common Stock,United States
AMX,America Movil S.A.B. de C.V. American Depository Receipt Series L,Mexico
AMYT,Amryt Pharma plc American Depositary Shares,United Kingdom
AMZN,Amazon.com Inc. Common Stock,United States
AN,AutoNation Inc. Common Stock,United States
ANAB,AnaptysBio Inc. Common Stock,United States
ANAC,Arctos NorthStar Acquisition Corp. Class A Ordinary Shares,
ANAT,American National Group Inc. Common Stock,United States
ANDE,Andersons Inc. (The) Common Stock,United States
ANEB,Anebulo Pharmaceuticals Inc. Common Stock,United States
ANET,Arista Networks Inc. Common Stock,
ANF,Abercrombie & Fitch Company Common Stock,United States
ANGI,Angi Inc. Class A Common Stock,United States
ANGN,Angion Biomedica Corp. Common Stock,United States
ANGO,AngioDynamics Inc. Common Stock,United States
ANIK,Anika Therapeutics Inc. Common Stock,United States
ANIP,ANI Pharmaceuticals Inc.,United States
ANIX,Anixa Biosciences Inc. Common Stock,United States
ANNX,Annexon Inc. Common Stock,United States
ANPC,AnPac Bio-Medical Science Co. Ltd. American Depositary Shares,China
ANSS,ANSYS Inc. Common Stock,United States
ANTE,AirNet Technology Inc. American Depositary Shares,China
ANTM,Anthem Inc. Common Stock,United States
ANVS,Annovis Bio Inc. Common Stock,United States
